ID,Gender,Register Date,Post,Forward Post,Original Post,Video,Pics,Avatar,Level,Active Days,经验值,Follow,Follower,Offline Friends,Offline Stranger,Tags,Badges,Album,Photo,Slogan,Collect Date,Collect minus Register,Register Days,Demographics,Ed and Pro,Extro3,Extro2,Extro,Neuro3,Neuro2,Neuro,Open3,Open2,Open,Agree3,Agree2,Agree,Consc3,Consc2,Consc
193,1,11/6/2013,12,10,2,0,10,4,2,23,0,29,18,0,0,0,0,1,4,0,4/12/2014,157,166,1,0,2,1,39,3,2,43,2,1,41,1,1,33,3,2,46
21,0,2/14/2011,281,221,60,3,76,3,10,1152,0,146,179,0,0,4,6,0,16,1,3/6/2014,1116,1162,3,0,1,1,33,2,1,34,3,2,52,1,1,35,3,2,46
133,1,5/20/2010,494,398,96,15,428,1,11,1575,0,205,845,0,0,0,1,0,57,1,3/20/2014,1400,1432,2,0,1,1,29,3,2,39,2,1,40,1,1,37,3,2,46
1,1,6/17/2011,1150,477,637,18,771,5,9,1003,0,201,297,0,0,0,9,0,340,0,3/6/2014,993,1039,3,0,3,2,49,2,1,33,3,2,51,1,1,37,3,2,46
43,0,11/20/2010,1517,1082,435,95,971,5,10,1205,0,318,291,0,0,7,5,0,28,0,3/11/2014,1207,1248,3,2,2,1,39,1,1,30,3,2,45,1,1,38,3,2,46
161,0,10/27/2013,47,43,4,2,46,7,1,8,0,22,15,0,0,0,0,2,10,0,4/11/2014,166,176,1,0,1,1,37,2,1,32,1,1,36,1,1,39,3,2,46
88,0,8/24/2010,90,82,8,13,79,3,5,194,0,105,72,0,0,7,4,0,5,1,3/20/2014,1304,1336,4,3,2,2,43,1,1,26,1,1,39,1,1,40,3,2,46
171,0,8/1/2010,891,772,119,138,709,5,7,423,0,95,166,0,0,5,7,2,65,1,4/12/2014,1350,1359,2,0,1,1,28,2,1,33,1,1,39,2,1,41,3,2,46
166,0,1/27/2011,1178,1073,105,30,414,2,6,304,0,102,179,0,0,1,10,2,77,1,4/12/2014,1171,1180,3,2,3,2,44,2,1,33,2,1,41,2,1,41,3,2,46
142,0,7/9/2011,297,228,69,20,226,4,7,403,0,139,188,0,0,8,9,0,18,1,3/20/2014,985,1017,3,6,3,2,48,1,1,25,3,2,46,2,2,42,3,2,46
46,0,12/16/2010,297,163,134,11,212,1,9,933,0,156,124,0,0,1,9,0,67,0,3/11/2014,1181,1222,2,0,3,2,44,1,1,27,3,2,50,2,2,42,3,2,46
154,0,10/31/2010,311,252,59,137,190,1,8,648,0,517,114,0,0,2,3,0,11,0,3/23/2014,1239,1268,3,2,3,2,45,1,1,27,1,1,33,3,2,47,3,2,46
139,0,2/24/2011,134,48,86,0,50,2,5,147,0,146,95,0,0,10,4,0,6,0,3/20/2014,1120,1152,3,2,2,1,39,2,2,37,3,2,44,3,2,47,3,2,46
197,0,8/31/2013,8,4,4,0,5,1,1,6,0,55,14,0,0,0,0,2,4,0,4/12/2014,224,233,1,0,2,2,42,3,2,39,2,2,43,1,1,38,3,2,47
247,0,6/18/2013,117,100,7,2,100,2,2,18,0,68,92,0,0,0,1,2,17,1,4/12/2014,298,307,3,0,1,1,35,2,1,34,2,1,41,2,2,42,3,2,47
12,1,2/18/2011,286,178,108,6,240,2,6,295,0,121,87,0,0,4,1,0,105,0,3/6/2014,1112,1158,3,0,2,2,43,1,1,29,3,2,46,2,2,43,3,2,47
175,0,11/26/2010,188,120,68,10,138,4,9,955,0,231,129,0,0,0,6,3,38,1,4/12/2014,1233,1242,3,2,1,1,36,1,1,27,1,1,36,3,2,45,3,2,47
126,0,9/1/2013,43,38,5,6,32,1,3,68,0,32,7,0,0,5,1,0,4,0,3/23/2014,203,232,3,2,2,2,41,2,2,36,1,1,38,3,2,49,3,2,47
239,1,3/15/2014,1,0,0,0,0,3,0,1,0,54,14,0,0,0,1,1,3,1,4/12/2014,28,37,3,0,2,2,40,3,2,56,3,2,52,1,1,28,3,2,48
34,0,11/14/2010,1179,680,499,14,701,4,9,951,0,216,254,0,0,1,32,0,22,1,3/11/2014,1213,1254,3,2,3,2,49,1,1,29,3,2,47,2,1,40,3,2,48
15,0,2/3/2011,817,458,359,93,600,1,7,443,0,164,137,0,0,10,9,0,219,1,3/6/2014,1127,1173,3,2,2,2,40,1,1,29,3,2,49,2,2,43,3,2,48
83,0,7/22/2010,5089,4073,1016,86,932,13,10,1185,0,290,643,0,0,0,27,0,333,1,3/19/2014,1336,1369,3,6,2,2,41,2,2,35,3,2,58,3,2,46,3,2,48
200,1,2/28/2011,1164,988,176,55,923,1,8,532,0,124,107,0,0,1,8,2,27,1,4/12/2014,1139,1148,3,2,1,1,28,3,2,42,2,1,41,3,2,49,3,2,48
53,1,11/19/2011,125,92,33,1,51,3,5,201,0,43,45,0,0,1,2,0,14,0,3/19/2014,851,884,2,2,3,2,47,1,1,25,2,2,42,2,2,43,3,2,49
5,1,1/28/2010,146,118,28,1,130,1,4,98,0,63,87,0,0,0,1,0,23,0,3/6/2014,1498,1544,2,2,3,2,45,1,1,27,1,1,37,3,2,44,3,2,49
41,1,8/10/2010,2879,1473,1406,36,818,1,11,1489,0,423,224,0,0,4,57,0,338,1,3/11/2014,1309,1350,2,6,3,2,44,1,1,28,2,1,41,3,2,44,3,2,49
218,0,5/7/2012,789,668,121,18,538,2,7,420,0,251,243,0,0,3,0,3,32,1,4/12/2014,705,714,3,0,3,2,47,1,1,24,1,1,31,3,2,45,3,2,49
125,1,8/24/2010,181,159,22,3,198,2,2,31,0,108,39,0,0,5,1,0,8,0,3/20/2014,1304,1336,2,0,3,2,46,1,1,21,3,2,46,3,2,45,3,2,49
209,0,3/9/2011,25,7,18,3,8,1,5,224,0,41,17,0,0,2,0,2,4,0,4/12/2014,1130,1139,2,0,2,1,39,2,2,37,1,1,39,3,2,46,3,2,49
182,0,4/1/2013,67,53,14,6,54,0,2,28,0,84,34,0,0,7,0,2,7,0,4/12/2014,376,385,2,0,1,1,37,2,1,32,1,1,30,3,2,52,3,2,49
205,1,2/4/2011,882,707,175,128,713,4,8,627,0,86,150,0,0,9,8,2,132,1,4/12/2014,1163,1172,3,0,1,1,35,3,2,46,3,2,51,1,1,38,3,2,50
